# EoSType = ColdBetaYe
# Nrho=4000
# RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
# RhoSpacing = Log
#  rho           eps             P              cs^2
   2.915531E-10  -9.294763E-03   6.834587E-14   3.197243E-04
   2.927306E-10  -9.293853E-03   6.871445E-14   3.201453E-04
   2.939129E-10  -9.292942E-03   6.908500E-14   3.205662E-04
   2.950999E-10  -9.292029E-03   6.945754E-14   3.209870E-04
   2.962917E-10  -9.291115E-03   6.983210E-14   3.214078E-04
   2.974883E-10  -9.290200E-03   7.020867E-14   3.218286E-04
   2.986898E-10  -9.289284E-03   7.058730E-14   3.222493E-04
   2.998961E-10  -9.288366E-03   7.096795E-14   3.226700E-04
   3.011072E-10  -9.287446E-03   7.135065E-14   3.230905E-04
   3.023233E-10  -9.286525E-03   7.173541E-14   3.235111E-04
   3.035443E-10  -9.285603E-03   7.212225E-14   3.239315E-04
   3.047702E-10  -9.284680E-03   7.251120E-14   3.243521E-04
   3.060011E-10  -9.283755E-03   7.290222E-14   3.247724E-04
   3.072369E-10  -9.282829E-03   7.329535E-14   3.251927E-04
   3.084777E-10  -9.281901E-03   7.369060E-14   3.256130E-04
   3.097236E-10  -9.280972E-03   7.408798E-14   3.260332E-04
   3.109744E-10  -9.280042E-03   7.448753E-14   3.264534E-04
   3.122304E-10  -9.279110E-03   7.488921E-14   3.268735E-04
   3.134914E-10  -9.278177E-03   7.529306E-14   3.272936E-04
   3.147574E-10  -9.277242E-03   7.569911E-14   3.277137E-04
   3.160286E-10  -9.276306E-03   7.610733E-14   3.281336E-04
   3.173050E-10  -9.275369E-03   7.651774E-14   3.285535E-04
   3.185865E-10  -9.274430E-03   7.693037E-14   3.289733E-04
   3.198731E-10  -9.273490E-03   7.734522E-14   3.293931E-04
   3.211650E-10  -9.272549E-03   7.776234E-14   3.298129E-04
   3.224621E-10  -9.271606E-03   7.818168E-14   3.302326E-04
   3.237644E-10  -9.270663E-03   7.860312E-14   3.306590E-04
   3.250720E-10  -9.269720E-03   7.902647E-14   3.310968E-04
   3.263848E-10  -9.268776E-03   7.945213E-14   3.315346E-04
   3.277030E-10  -9.267831E-03   7.988006E-14   3.319722E-04
   3.290265E-10  -9.266884E-03   8.031032E-14   3.324099E-04
   3.303553E-10  -9.265936E-03   8.074290E-14   3.328475E-04
   3.316895E-10  -9.264986E-03   8.117778E-14   3.332850E-04
   3.330291E-10  -9.264035E-03   8.161503E-14   3.337225E-04
   3.343741E-10  -9.263083E-03   8.205460E-14   3.341598E-04
   3.357245E-10  -9.262129E-03   8.249657E-14   3.345972E-04
   3.370804E-10  -9.261174E-03   8.294093E-14   3.350346E-04
   3.384417E-10  -9.260217E-03   8.338765E-14   3.354718E-04
   3.398086E-10  -9.259259E-03   8.383680E-14   3.359090E-04
   3.411809E-10  -9.258300E-03   8.428837E-14   3.363461E-04
   3.425589E-10  -9.257339E-03   8.474235E-14   3.367831E-04
   3.439423E-10  -9.256377E-03   8.519880E-14   3.372202E-04
   3.453314E-10  -9.255413E-03   8.565771E-14   3.376572E-04
   3.467261E-10  -9.254448E-03   8.611906E-14   3.380940E-04
   3.481264E-10  -9.253481E-03   8.658293E-14   3.385309E-04
   3.495324E-10  -9.252513E-03   8.704929E-14   3.389677E-04
   3.509440E-10  -9.251544E-03   8.751814E-14   3.394043E-04
   3.523614E-10  -9.250573E-03   8.798954E-14   3.398411E-04
   3.537844E-10  -9.249601E-03   8.846349E-14   3.402777E-04
   3.552132E-10  -9.248627E-03   8.893998E-14   3.407143E-04
